site_id,timestamp,latitude,longitude,target_timestamp,ghi_issue,issue_clear_sky_ghi,satellite_ssi_issue,satellite_clear_sky_index_issue,cloud_cover_issue,quality_flag,ghi_lag_1,ghi_lag_2,ghi_lag_3,clear_sky_index_lag_1,clear_sky_index_lag_2,cloud_cover_lag_1,cloud_cover_lag_3,satellite_ssi_lag_1,satellite_ssi_trend,cloud_cover_trend,best_satellite_source,satellite_data_available,irradiance_source_std,number_of_available_irradiance_sources,target_valid_time,GHI_target,target_source,target_quality_level,target_solar_zenith,target_solar_elevation,target_solar_azimuth,target_cos_zenith,target_air_mass,target_GHI_clear,target_DNI_clear,target_DHI_clear,target_cloud_cover_forecast_proxy,target_cloud_cover_low_forecast_proxy,target_cloud_cover_mid_forecast_proxy,target_cloud_cover_high_forecast_proxy,target_temperature_2m_forecast_proxy,target_relative_humidity_2m_forecast_proxy,target_wind_speed_10m_forecast_proxy,target_precipitation_forecast_proxy,GHI_phys_target,horizon_minutes,GHI_persistence_naive,GHI_persistence_csi,GHI_residual_target,GHI_P10_raw,GHI_P50,GHI_P90_raw,GHI_P10_calibrated,GHI_P90_calibrated,conformal_expansion,uncertainty_level,DNI_P10_estimated,DHI_P10_estimated,DNI_P50_estimated,DHI_P50_estimated,DNI_P90_estimated,DHI_P90_estimated,dni_dhi_estimation_method,POA_P10,POA_P50,POA_P90,poa_transposition_model,module_temperature,PV_P10,PV_P50,PV_P90,PV_energy_P50,clear_sky_PV_power,PV_state_index,main_limiting_factor,limiting_factor_evidence,demo_mode,display_mode,fallback_active,data_quality_level,primary_satellite_source,weather_forecast_source,data_freshness_minutes
munich_north,2025-07-01 23:00:00+02:00,48.22,11.57,2025-07-01 23:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,61.45,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.64262939205716,-16.642629392057156,341.35973823029383,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.64}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_north,2025-07-01 21:00:00+02:00,48.22,11.57,2025-07-01 21:00:00+02:00,0.0,0.0,0.0,,,ok,61.45,181.62,311.08,0.8882625036137611,0.8677496416626851,,,61.45,-61.45,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.64262939205716,-16.642629392057156,341.35973823029383,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.64}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_north,2025-07-01 18:00:00+02:00,48.22,11.57,2025-07-01 18:00:00+02:00,311.08,373.5,311.08,,,ok,455.3,606.6,757.4,0.8484114413491103,0.8887521427629556,,,455.3,-144.22000000000003,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.64262939205716,-16.642629392057156,341.35973823029383,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.64}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_north,2025-07-01 12:00:00+02:00,48.22,11.57,2025-07-01 12:00:00+02:00,852.5,870.78,852.5,,,ok,789.7,676.65,546.2,0.9801414918704232,0.9701770736253494,,,789.7,62.799999999999955,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.64262939205716,-16.642629392057156,341.35973823029383,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.64}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_north,2025-07-01 00:00:00+02:00,48.22,11.57,2025-07-01 00:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.64262939205716,-16.642629392057156,341.35973823029383,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.64}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_south,2025-07-01 23:00:00+02:00,48.05,11.58,2025-07-01 23:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,61.45,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.80584012722886,-16.805840127228862,341.3527579282709,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.81}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_south,2025-07-01 21:00:00+02:00,48.05,11.58,2025-07-01 21:00:00+02:00,0.0,0.0,0.0,,,ok,61.45,181.62,311.08,0.8882625036137611,0.8677496416626851,,,61.45,-61.45,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.80584012722886,-16.805840127228862,341.3527579282709,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.81}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_south,2025-07-01 18:00:00+02:00,48.05,11.58,2025-07-01 18:00:00+02:00,311.08,373.5,311.08,,,ok,455.3,606.6,757.4,0.8484114413491103,0.8887521427629556,,,455.3,-144.22000000000003,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.80584012722886,-16.805840127228862,341.3527579282709,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.81}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_south,2025-07-01 12:00:00+02:00,48.05,11.58,2025-07-01 12:00:00+02:00,852.5,870.78,852.5,,,ok,789.7,676.65,546.2,0.9801414918704232,0.9701770736253494,,,789.7,62.799999999999955,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.80584012722886,-16.805840127228862,341.3527579282709,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.81}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_south,2025-07-01 00:00:00+02:00,48.05,11.58,2025-07-01 00:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.80584012722886,-16.805840127228862,341.3527579282709,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.81}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_west,2025-07-01 23:00:00+02:00,48.14,11.4,2025-07-01 23:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,61.45,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.68200810886708,-16.68200810886707,341.19323525863757,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.68}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_west,2025-07-01 21:00:00+02:00,48.14,11.4,2025-07-01 21:00:00+02:00,0.0,0.0,0.0,,,ok,61.45,181.62,311.08,0.8882625036137611,0.8677496416626851,,,61.45,-61.45,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.68200810886708,-16.68200810886707,341.19323525863757,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.68}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_west,2025-07-01 18:00:00+02:00,48.14,11.4,2025-07-01 18:00:00+02:00,311.08,373.5,311.08,,,ok,455.3,606.6,757.4,0.8484114413491103,0.8887521427629556,,,455.3,-144.22000000000003,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.68200810886708,-16.68200810886707,341.19323525863757,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.68}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_west,2025-07-01 12:00:00+02:00,48.14,11.4,2025-07-01 12:00:00+02:00,852.5,870.78,852.5,,,ok,789.7,676.65,546.2,0.9801414918704232,0.9701770736253494,,,789.7,62.799999999999955,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.68200810886708,-16.68200810886707,341.19323525863757,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.68}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_west,2025-07-01 00:00:00+02:00,48.14,11.4,2025-07-01 00:00:00+02:00,0.0,0.0,0.0,,,ok,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,nasa_power,True,0.0,1,2025-07-02 00:00:00+02:00,0.0,nasa_power,satellite_model_historical_baseline,106.68200810886708,-16.68200810886707,341.19323525863757,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -16.68}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_centre,2025-07-02 00:00:00+02:00,48.137,11.575,2025-07-02 00:00:00+02:00,0.0,0.0,0.0,0.0,2.0,ok,0.0,0.0,1.2724365018589772,0.0,0.0,9.0,66.0,0.0,0.0,-7.0,nasa_power,True,0.0,2,2025-07-02 01:00:00+02:00,0.0,openmeteo_shortwave_proxy,hindcast_forecast_proxy,108.7191864936776,-18.71918649367759,355.6913601398978,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -18.72}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_centre,2025-07-01 22:00:00+02:00,48.137,11.575,2025-07-01 22:00:00+02:00,0.0,0.0,0.0,0.0,47.0,ok,1.2724365018589772,100.03337525599478,289.5964149906151,1.2,1.2,66.0,89.0,0.0,0.0,-19.0,nasa_power,True,0.0,2,2025-07-02 01:00:00+02:00,0.0,openmeteo_shortwave_proxy,hindcast_forecast_proxy,108.7191864936776,-18.71918649367759,355.6913601398978,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -18.72}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_centre,2025-07-01 19:00:00+02:00,48.137,11.575,2025-07-01 19:00:00+02:00,289.5964149906151,241.33034582551255,181.62,0.752578377073704,89.0,ok,430.0,434.0,585.0,1.0404443284074438,0.7545210393853958,71.0,83.0,311.08,-129.45999999999998,18.0,nasa_power,True,76.3508552480767,2,2025-07-02 01:00:00+02:00,0.0,openmeteo_shortwave_proxy,hindcast_forecast_proxy,108.7191864936776,-18.71918649367759,355.6913601398978,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -18.72}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_centre,2025-07-01 13:00:00+02:00,48.137,11.575,2025-07-01 13:00:00+02:00,815.0,881.0882184336103,890.4,1.010568500828378,28.0,ok,775.0,699.0,564.0,0.919617248803562,0.921180185208442,18.0,6.0,852.5,37.89999999999998,10.0,nasa_power,True,53.31585130146566,2,2025-07-02 01:00:00+02:00,0.0,openmeteo_shortwave_proxy,hindcast_forecast_proxy,108.7191864936776,-18.71918649367759,355.6913601398978,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -18.72}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
munich_centre,2025-07-01 01:00:00+02:00,48.137,11.575,2025-07-01 01:00:00+02:00,0.0,0.0,0.0,0.0,1.0,ok,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0,0.0,-94.0,nasa_power,True,0.0,2,2025-07-02 01:00:00+02:00,0.0,openmeteo_shortwave_proxy,hindcast_forecast_proxy,108.7191864936776,-18.71918649367759,355.6913601398978,0.0,,0.0,0.0,0.0,2.0,,,,,,,,0.0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,0.0,0.0,pvlib_erbs_estimated_from_ghi,0.0,0.0,0.0,isotropic,20.0,0.0,0.0,0.0,0.0,0.0,0.0,low sun angle,"{""target_solar_elevation"": -18.72}",True,Demo Snapshot,True,demo_cached,nasa_power,cached_demo,
